id,incident_date,district,bias_code,bias_code_2,bias,status,#_of_victims,victim_type,#_of_suspects,#_suspects_<_18_of_age,#_suspects_18-35_of_age,#_suspects_36-45_of_age,#_suspects_46-55_of_age,#_suspects_>_55_of_age,suspect_known/unknown,year,month,year_month
260003495,2026-01-29,5,Anti-Male Homosexual,NA,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,NA,NA,NA,NA,NA,Known,2026,1,2026-01-01
260003583,2026-01-23,1,Anti-Multi-Religious Group,NA,Other,Open,NA,Religious Organization,NA,NA,NA,NA,NA,NA,NA,2026,1,2026-01-01
260003392,2026-01-22,2,Anti-Black,NA,Vandalism,Closed-Admin,NA,School/College,NA,NA,NA,NA,NA,NA,NA,2026,1,2026-01-01
260003262,2026-01-21,4,Anti-Hispanic,NA,Verbal Intimidation/Simple Assault,Closed-Admin,1,Individual(s),1,NA,NA,NA,NA,NA,Known,2026,1,2026-01-01
260003258,2026-01-21,2,Anti-Jewish,NA,Vandalism,Closed-Admin,NA,School/College,NA,NA,NA,NA,NA,NA,NA,2026,1,2026-01-01
260003071,2026-01-20,2,Anti-Jewish,NA,Written Intimidation/Simple Assault,Closed-Admin,NA,Society,NA,NA,NA,NA,NA,NA,NA,2026,1,2026-01-01
260002842,2026-01-18,4,Anti-Islamic,NA,Written Intimidation/Simple Assault,Open,NA,School/College,1,NA,NA,NA,NA,NA,Unknown,2026,1,2026-01-01
260002472,2026-01-16,2,Anti-Islamic,NA,Vandalism,Open,NA,School/College,4,NA,NA,NA,NA,NA,Unknown,2026,1,2026-01-01
260002502,2026-01-16,3,Anti-Black,NA,Vandalism,Closed-Admin,NA,School/College,NA,NA,NA,NA,NA,NA,NA,2026,1,2026-01-01
260002476,2026-01-16,4,Anti-Hispanic,NA,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,NA,NA,NA,NA,1,Known,2026,1,2026-01-01
260002209,2026-01-14,2,Anti-Islamic,NA,Verbal Intimidation/Simple Assault,Closed-Admin,1,Individual(s),1,1,NA,NA,NA,NA,Known,2026,1,2026-01-01
260001980,2026-01-13,6,Anti-Jewish,NA,Vandalism,Open,NA,Business/Financial Institution,NA,NA,NA,NA,NA,NA,NA,2026,1,2026-01-01
260001991,2026-01-13,6,Anti-Jewish,NA,Vandalism-Motor Vehicle,Open,1,Individual(s),NA,NA,NA,NA,NA,NA,NA,2026,1,2026-01-01
260001873,2026-01-12,5,Anti-Jewish,NA,Written Intimidation/Simple Assault,Open,1,Individual(s),1,1,NA,NA,NA,NA,Known,2026,1,2026-01-01
260001795,2026-01-12,2,Anti-Jewish,NA,Other,Open,NA,Religious Organization,1,NA,NA,NA,NA,NA,Unknown,2026,1,2026-01-01
260001659,2026-01-11,4,Anti-Islamic,NA,Other,Open,1,Individual(s),1,NA,NA,NA,NA,NA,Unknown,2026,1,2026-01-01
260000816,2026-01-07,5,Anti-Jewish,NA,Vandalism,Closed-Admin,NA,School/College,2,2,NA,NA,NA,NA,Known,2026,1,2026-01-01
260001009,2026-01-07,2,Anti-Arab,NA,Verbal Intimidation/Simple Assault,Open,2,Individual(s),NA,NA,NA,NA,NA,NA,NA,2026,1,2026-01-01
250058134,2025-12-30,2,Anti-Arab,NA,Other,Closed-Arrest,NA,Business/Financial Institution,1,NA,NA,1,NA,NA,Known,2025,12,2025-12-01
250058029,2025-12-29,2,Anti-Jewish,NA,Vandalism,Open,NA,Business/Financial Institution,NA,NA,NA,NA,NA,NA,Unknown,2025,12,2025-12-01
250057923,2025-12-28,2,Anti-Hispanic,NA,Assault (simple),Open,1,Individual(s),1,1,NA,NA,NA,NA,Known,2025,12,2025-12-01
250057472,2025-12-24,2,Anti-Jewish,NA,Other,Open,1,Individual(s),NA,NA,NA,NA,NA,NA,NA,2025,12,2025-12-01
250057463,2025-12-24,2,Anti-Black,NA,Assault (simple),Open,1,Individual(s),1,NA,NA,NA,NA,1,Known,2025,12,2025-12-01
250057075,2025-12-22,3,Anti-Mental Disability,NA,Written Intimidation/Simple Assault,Closed-Admin,3,Individual(s),NA,NA,NA,NA,NA,NA,Unknown,2025,12,2025-12-01
250056690,2025-12-19,5,Anti-Jewish,NA,Vandalism,Closed-Admin,NA,School/College,NA,NA,NA,NA,NA,NA,NA,2025,12,2025-12-01
250056696,2025-12-19,2,Anti-Jewish,Anti-Homosexual,Written Intimidation/Simple Assault,Closed-Admin,NA,Individual(s),NA,NA,NA,NA,NA,NA,Unknown,2025,12,2025-12-01
250056571,2025-12-18,2,Anti-Jewish,NA,Verbal Intimidation/Simple Assault,Closed-Admin,1,Individual(s),1,NA,NA,1,NA,NA,Known,2025,12,2025-12-01
250056354,2025-12-17,3,Anti-Other Ethnicity,NA,Vandalism,Closed-Admin,NA,School/College,NA,NA,NA,NA,NA,NA,NA,2025,12,2025-12-01
250056195,2025-12-17,2,Anti-Multi-Racial,NA,Written Intimidation/Simple Assault,N/A,NA,Business/Financial Institution,NA,NA,NA,NA,NA,NA,Unknown,2025,12,2025-12-01
250056373,2025-12-17,2,Anti-Jewish,NA,Vandalism,Open,NA,Society,1,NA,NA,NA,NA,1,Known,2025,12,2025-12-01
250056163,2025-12-17,2,Anti-Black,NA,Vandalism,N/A,1,Individual(s),NA,NA,NA,NA,NA,NA,Unknown,2025,12,2025-12-01
250056007,2025-12-15,5,Anti-Black,NA,Physical Intimidation/Simple Assault,Open,1,Individual(s),1,NA,1,NA,NA,NA,Known,2025,12,2025-12-01
250055631,2025-12-12,3,Anti-Hispanic,Anti-Jewish,Vandalism,Open,NA,School/College,NA,NA,NA,NA,NA,NA,NA,2025,12,2025-12-01
250055219,2025-12-11,3,Anti-Jewish,NA,Vandalism,Closed-Admin,NA,School/College,NA,NA,NA,NA,NA,NA,Unknown,2025,12,2025-12-01
250055168,2025-12-10,1,Anti-Black,NA,Assault (physical),Closed-Arrest,2,Individual(s),1,NA,NA,1,NA,NA,Known,2025,12,2025-12-01
