"ID","Incident Date","District","Bias Code","Bias Code_2","Bias","Status","# of Victims","Victim Type","# of Suspects","# Suspects < 18 of age","# Suspects 18-35 of age","# Suspects 36-45 of age","# Suspects 46-55 of age","# Suspects > 55 of age","Suspect Known/Unknown"
"260003495","01/29/2026","5D","Anti-Male Homosexual",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,,"Known"
"260003623","01/23/2026","TPPD","Anti-Black",,"Verbal Intimidation/Simple Assault","Open","2","Individual(s)","2",,,,,"2","Known"
"260003583","01/23/2026","1D","Anti-Multi-Religious Group",,"Other","Open",,"Religious Organization",,,,,,,
"260003392","01/22/2026","2D","Anti-Black",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"260003262","01/21/2026","4D","Anti-Hispanic",,"Verbal Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1",,,,,,"Known"
"260003258","01/21/2026","2D","Anti-Jewish",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"260003071","01/20/2026","2D","Anti-Jewish",,"Written Intimidation/Simple Assault","Closed-Admin",,"Society",,,,,,,
"260003102","01/20/2026","TPPD","Anti-Homosexual",,"Vandalism","Open",,"Society",,,,,,,
"260002842","01/18/2026","4D","Anti-Islamic",,"Written Intimidation/Simple Assault","Open",,"School/College","1",,,,,,"Unknown"
"260002472","01/16/2026","2D","Anti-Islamic",,"Vandalism","Open",,"School/College","4",,,,,,"Unknown"
"260002502","01/16/2026","3D","Anti-Black",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"260002476","01/16/2026","4D","Anti-Hispanic",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,"1","Known"
"260002209","01/14/2026","2D","Anti-Islamic",,"Verbal Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"260001980","01/13/2026","6D","Anti-Jewish",,"Vandalism","Open",,"Business/Financial Institution",,,,,,,
"260001991","01/13/2026","6D","Anti-Jewish",,"Vandalism-Motor Vehicle","Open","1","Individual(s)",,,,,,,
"260001873","01/12/2026","5D","Anti-Jewish",,"Written Intimidation/Simple Assault","Open","1","Individual(s)","1","1",,,,,"Known"
"260001795","01/12/2026","2D","Anti-Jewish",,"Other","Open",,"Religious Organization","1",,,,,,"Unknown"
"260001659","01/11/2026","4D","Anti-Islamic",,"Other","Open","1","Individual(s)","1",,,,,,"Unknown"
"260000816","01/07/2026","5D","Anti-Jewish",,"Vandalism","Closed-Admin",,"School/College","2","2",,,,,"Known"
"260001009","01/07/2026","2D","Anti-Arab",,"Verbal Intimidation/Simple Assault","Open","2","Individual(s)",,,,,,,
"250058134","12/30/2025","2D","Anti-Arab",,"Other","Closed-Arrest",,"Business/Financial Institution","1",,,"1",,,"Known"
"250058029","12/29/2025","2D","Anti-Jewish",,"Vandalism","Open",,"Business/Financial Institution",,,,,,,"Unknown"
"250057923","12/28/2025","2D","Anti-Hispanic",,"Assault (simple)","Open","1","Individual(s)","1","1",,,,,"Known"
"250057472","12/24/2025","2D","Anti-Jewish",,"Other","Open","1","Individual(s)",,,,,,,
"250057463","12/24/2025","2D","Anti-Black",,"Assault (simple)","Open","1","Individual(s)","1",,,,,"1","Known"
"250057075","12/22/2025","3D","Anti-Mental Disability",,"Written Intimidation/Simple Assault","Closed-Admin","3","Individual(s)",,,,,,,"Unknown"
"250056690","12/19/2025","5D","Anti-Jewish",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250056696","12/19/2025","2D","Anti-Jewish","Anti-Homosexual","Written Intimidation/Simple Assault","Closed-Admin",,"Individual(s)",,,,,,,"Unknown"
"250056571","12/18/2025","2D","Anti-Jewish",,"Verbal Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1",,,"1",,,"Known"
"250056354","12/17/2025","3D","Anti-Other Ethnicity",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250056195","12/17/2025","2D","Anti-Multi-Racial",,"Written Intimidation/Simple Assault","N/A",,"Business/Financial Institution",,,,,,,"Unknown"
