"ID","Race","Gender","Age","Ethnicity","District","Division","Bureau","Event Date/Time"
"2765","Black/African American","Male","43","NON-HISPANIC","6","GPD",,"2026 Feb 16 03:00:00 PM"
"181","Black/African American","Male","43","HISPANIC","6","GPD",,"2026 Feb 15 08:17:37 PM"
"2843","White","Male","31","HISPANIC","6","GPD",,"2026 Feb 13 11:24:59 PM"
"322","Black/African American","Male","39","NON-HISPANIC",,"GPD",,"2026 Feb 13 09:29:00 PM"
"381","Black/African American","Male","33","NON-HISPANIC","5","5D","PSB","2026 Feb 13 06:48:16 PM"
"2993","White","Male","56","HISPANIC","8","TPPD",,"2026 Feb 13 02:38:00 PM"
"2992","White","Female","18","HISPANIC","2","2D","PSB","2026 Feb 12 05:23:41 PM"
"2991","White","Male","43","HISPANIC","3","3D","PSB","2026 Feb 12 02:25:00 PM"
"2191","Black/African American","Male","36","NON-HISPANIC","4","4D","PSB","2026 Feb 11 04:35:24 PM"
"2685","Black/African American","Male","21","NON-HISPANIC","2","2D","PSB","2026 Feb 11 03:55:09 PM"
"2975","White","Male","50","NON-HISPANIC","3","3D","PSB","2026 Feb 11 03:21:38 PM"
"2583","Black/African American","Male","24","NON-HISPANIC","3","3D","PSB","2026 Feb 11 01:30:00 PM"
"717","White","Male","24","HISPANIC","4","4D","PSB","2026 Feb 10 07:03:34 PM"
"2989","White","Male","25","HISPANIC","6","GPD",,"2026 Feb 10 02:34:00 PM"
"367","Black/African American","Male","31","NON-HISPANIC","3","3D","PSB","2026 Feb 09 03:38:52 PM"
"2988","White","Male","25","NON-HISPANIC","3","3D","PSB","2026 Feb 09 01:31:28 PM"
"2987","White","Male","21","HISPANIC","2","2D","PSB","2026 Feb 07 01:42:00 PM"
"2990","White","Male","18","NON-HISPANIC","3","3D","PSB","2026 Feb 06 07:20:00 PM"
"2779","White","Male","19","HISPANIC","3","3D","PSB","2026 Feb 06 07:20:00 PM"
"2169","White","Male","43","HISPANIC","3","3D","PSB","2026 Feb 05 03:59:39 PM"
"2910","Black/African American","Male","26","NON-HISPANIC","2","2D","PSB","2026 Feb 05 03:59:33 PM"
"2983","Black/African American","Male","38","NON-HISPANIC","3","3D","PSB","2026 Feb 04 07:31:48 PM"
"2986","White","Male","44","NON-HISPANIC","3","3D","PSB","2026 Feb 04 07:09:00 PM"
"288","Black/African American","Male","57","NON-HISPANIC","3","3D","PSB","2026 Feb 04 06:45:00 PM"
"1063","White","Female","49","NON-HISPANIC","2","2D","PSB","2026 Feb 04 05:03:08 PM"
"2984","White","Male","58","HISPANIC","3","3D","PSB","2026 Feb 04 03:30:00 PM"
"2039","White","Female","34","HISPANIC","4","4D","PSB","2026 Feb 04 10:09:26 AM"
"513","White","Male","40","HISPANIC","3","3D","PSB","2026 Feb 03 08:51:16 PM"
"2701","Unknown","Male","22","NON-HISPANIC","4","4D","PSB","2026 Feb 03 04:39:00 PM"
"2982","Black/African American","Female","20","NON-HISPANIC","4","4D","PSB","2026 Feb 03 01:25:00 PM"
"2981","Black/African American","Female","23","NON-HISPANIC","4","4D","PSB","2026 Feb 03 01:25:00 PM"
"1864","White","Male","21","HISPANIC","4","4D","PSB","2026 Feb 02 05:16:37 PM"
"2288","Asian","Male","26","NON-HISPANIC","5","5D","PSB","2026 Feb 01 03:01:27 PM"
"2978","White","Female","31","NON-HISPANIC","3","TOD","SOB","2026 Jan 30 06:58:46 PM"
"2977","White","Female","63","NON-HISPANIC","5","5D","PSB","2026 Jan 30 05:32:49 PM"
"2980","White","Male","24","HISPANIC","3","TOD","SOB","2026 Jan 30 01:05:00 PM"
"2979","White","Male","31","HISPANIC","3","TOD","SOB","2026 Jan 30 12:39:00 PM"
"2985","White","Male","28","HISPANIC","3","3D","PSB","2026 Jan 29 05:00:00 PM"
