police_district_number,year_month,total_calls,no_report_count,no_report_rate,mismatch_count,mismatch_rate,downgrade_count,downgrade_rate,total_citations,total_bias,citations_per_100_calls,bias_per_100_calls
1,2017-04-01T00:00:00Z,2393,2104,87.92310906811534,91,31.4878892733564,17,5.88235294117647,NA,3,NA,0.12536564981195153
1,2017-05-01T00:00:00Z,3200,2775,86.71875,144,33.88235294117647,28,6.588235294117648,NA,1,NA,0.03125
1,2017-06-01T00:00:00Z,3456,2951,85.38773148148148,155,30.693069306930692,21,4.1584158415841586,NA,2,NA,0.057870370370370364
1,2017-07-01T00:00:00Z,3148,2661,84.52986022871664,156,32.03285420944558,30,6.160164271047227,NA,NA,NA,NA
1,2017-08-01T00:00:00Z,3110,2593,83.37620578778136,172,33.26885880077369,37,7.156673114119923,NA,3,NA,0.09646302250803858
1,2017-09-01T00:00:00Z,2978,2558,85.89657488247146,143,34.04761904761905,30,7.142857142857142,NA,1,NA,0.0335795836131632
1,2017-10-01T00:00:00Z,3127,2633,84.20211064918452,159,32.18623481781376,44,8.906882591093117,NA,2,NA,0.06395906619763352
1,2017-11-01T00:00:00Z,2967,2487,83.82204246713853,139,28.958333333333336,27,5.625,NA,2,NA,0.06740815638692282
1,2017-12-01T00:00:00Z,2979,2539,85.22994293387043,155,35.22727272727273,34,7.727272727272727,NA,1,NA,0.033568311513930846
1,2018-01-01T00:00:00Z,2836,2426,85.54301833568407,158,38.53658536585366,38,9.268292682926829,NA,NA,NA,NA
1,2018-02-01T00:00:00Z,2519,2135,84.75585549821358,143,37.23958333333333,37,9.635416666666668,NA,2,NA,0.07939658594680428
1,2018-03-01T00:00:00Z,2915,2504,85.90051457975987,141,34.306569343065696,36,8.75912408759124,NA,3,NA,0.10291595197255575
1,2018-04-01T00:00:00Z,2723,2306,84.68600807932427,135,32.37410071942446,31,7.434052757793765,NA,NA,NA,NA
1,2018-05-01T00:00:00Z,3167,2742,86.58035996210926,153,36,46,10.823529411764705,NA,NA,NA,NA
1,2018-06-01T00:00:00Z,3069,2595,84.55522971652005,150,31.645569620253166,31,6.5400843881856545,NA,NA,NA,NA
1,2018-07-01T00:00:00Z,3155,2670,84.62757527733757,185,38.144329896907216,35,7.216494845360824,NA,1,NA,0.03169572107765452
1,2018-08-01T00:00:00Z,3081,2631,85.39435248296007,164,36.44444444444444,36,8,NA,NA,NA,NA
1,2018-09-01T00:00:00Z,3018,2564,84.95692511597083,174,38.32599118942731,37,8.149779735682818,NA,NA,NA,NA
1,2018-10-01T00:00:00Z,3225,2703,83.81395348837209,190,36.39846743295019,48,9.195402298850574,NA,1,NA,0.0310077519379845
1,2018-11-01T00:00:00Z,2800,2401,85.75,142,35.58897243107769,37,9.273182957393484,NA,1,NA,0.03571428571428571
1,2018-12-01T00:00:00Z,2894,2411,83.31029716655148,183,37.88819875776397,55,11.387163561076605,NA,NA,NA,NA
1,2019-01-01T00:00:00Z,2731,2306,84.43793482240937,159,37.411764705882355,33,7.764705882352942,NA,NA,NA,NA
1,2019-02-01T00:00:00Z,2651,2240,84.49641644662391,155,37.71289537712895,33,8.02919708029197,NA,4,NA,0.15088645794039984
1,2019-03-01T00:00:00Z,2875,2405,83.65217391304348,189,40.21276595744681,46,9.787234042553191,NA,3,NA,0.10434782608695652
1,2019-04-01T00:00:00Z,2859,2426,84.85484435117175,150,34.64203233256351,31,7.159353348729793,NA,NA,NA,NA
1,2019-05-01T00:00:00Z,3197,2724,85.2048795746012,191,40.38054968287527,53,11.20507399577167,NA,2,NA,0.06255864873318737
1,2019-06-01T00:00:00Z,2941,2478,84.2570554233254,167,36.06911447084234,40,8.639308855291576,NA,2,NA,0.06800408024481469
1,2019-07-01T00:00:00Z,3171,2649,83.53831598864711,175,33.524904214559385,37,7.088122605363985,NA,NA,NA,NA
1,2019-08-01T00:00:00Z,3047,2531,83.06531014112241,176,34.10852713178294,31,6.007751937984496,NA,1,NA,0.03281916639317361
1,2019-09-01T00:00:00Z,2857,2400,84.00420021001051,178,38.949671772428886,44,9.62800875273523,NA,1,NA,0.03500175008750438
1,2019-10-01T00:00:00Z,2962,2484,83.86225523295072,185,38.70292887029289,41,8.577405857740587,NA,NA,NA,NA
1,2019-11-01T00:00:00Z,2886,2413,83.61053361053361,167,35.30655391120507,29,6.13107822410148,NA,NA,NA,NA
1,2019-12-01T00:00:00Z,2668,2216,83.05847076461768,162,35.84070796460177,43,9.513274336283185,NA,1,NA,0.037481259370314844
1,2020-01-01T00:00:00Z,2666,2194,82.29557389347337,179,37.92372881355932,42,8.898305084745763,NA,NA,NA,NA
